State	Year	Miles (millions)	Fatalities
Alabama	2012	64959	865
Alaska	2012	4792	59
Arizona	2012	60129	821
Arkansas	2012	33522	560
California	2012	326271	2966
Colorado	2012	46768	474
Connecticut	2012	31269	264
Delaware	2012	9185	114
District of Columbia	2012	3571	15
Florida	2012	191373	2431
Georgia	2012	107488	1192
Hawaii	2012	10049	125
Idaho	2012	16314	184
Illinois	2012	104578	956
Indiana	2012	78922	781
Iowa	2012	31596	365
Kansas	2012	30572	405
Kentucky	2012	47343	746
Louisiana	2012	46889	723
Maine	2012	14198	164
Maryland	2012	56475	511
Massachusetts	2012	55939	383
Michigan	2012	94547	940
Minnesota	2012	56988	395
Mississippi	2012	38667	582
Missouri	2012	68503	826
Montana	2012	11885	205
Nebraska	2012	19276	212
Nevada	2012	24148	261
New Hampshire	2012	12893	108
New Jersey	2012	74225	589
New Mexico	2012	25561	366
New York	2012	128220	1180
North Carolina	2012	104949	1299
North Dakota	2012	10081	170
Ohio	2012	112715	1121
Oklahoma	2012	47871	709
Oregon	2012	33172	337
Pennsylvania	2012	98884	1310
Rhode Island	2012	7806	64
South Carolina	2012	49036	863
South Dakota	2012	9113	133
Tennessee	2012	71166	1015
Texas	2012	237835	3408
Utah	2012	26527	217
Vermont	2012	7215	77
Virginia	2012	80958	776
Washington	2012	56762	438
West Virginia	2012	19225	339
Wisconsin	2012	59087	615
Wyoming	2012	9270	123
