State	Year	Miles (millions)	Fatalities
Alabama	2014	65666	820
Alaska	2014	4856	73
Arizona	2014	62630	773
Arkansas	2014	34023	470
California	2014	332857	3102
Colorado	2014	48985	488
Connecticut	2014	31190	248
Delaware	2014	9596	124
District of Columbia	2014	3527	23
Florida	2014	201040	2494
Georgia	2014	111534	1164
Hawaii	2014	10174	95
Idaho	2014	16154	186
Illinois	2014	104905	924
Indiana	2014	79203	745
Iowa	2014	31413	322
Kansas	2014	30709	385
Kentucky	2014	47940	672
Louisiana	2014	48251	740
Maine	2014	14301	131
Maryland	2014	56431	442
Massachusetts	2014	57552	354
Michigan	2014	97384	901
Minnesota	2014	57394	361
Mississippi	2014	39499	607
Missouri	2014	70909	766
Montana	2014	12157	192
Nebraska	2014	19612	225
Nevada	2014	25301	291
New Hampshire	2014	12970	95
New Jersey	2014	74856	556
New Mexico	2014	25347	386
New York	2014	129263	1041
North Carolina	2014	108012	1284
North Dakota	2014	10511	135
Ohio	2014	112766	1006
Oklahoma	2014	47698	669
Oregon	2014	34610	357
Pennsylvania	2014	99881	1195
Rhode Island	2014	7676	51
South Carolina	2014	49931	823
South Dakota	2014	9225	136
Tennessee	2014	72335	963
Texas	2014	243075	3536
Utah	2014	27554	256
Vermont	2014	7059	44
Virginia	2014	80984	703
Washington	2014	58059	462
West Virginia	2014	19117	272
Wisconsin	2014	60053	506
Wyoming	2014	9457	150
