State	Year	Miles (millions)	Fatalities
Alabama	2016	69226	1083
Alaska	2016	5258	84
Arizona	2016	65785	952
Arkansas	2016	35754	561
California	2016	340114	3837
Colorado	2016	52151	608
Connecticut	2016	31638	304
Delaware	2016	10177	119
District of Columbia	2016	3621	27
Florida	2016	215550	3176
Georgia	2016	122802	1556
Hawaii	2016	10635	120
Idaho	2016	17198	253
Illinois	2016	107314	1078
Indiana	2016	83182	829
Iowa	2016	33336	402
Kansas	2016	32102	429
Kentucky	2016	49312	834
Louisiana	2016	49155	757
Maine	2016	14838	160
Maryland	2016	59137	522
Massachusetts	2016	61824	387
Michigan	2016	99432	1065
Minnesota	2016	59028	392
Mississippi	2016	40754	687
Missouri	2016	74018	947
Montana	2016	12598	190
Nebraska	2016	20699	218
Nevada	2016	26787	329
New Hampshire	2016	13512	136
New Jersey	2016	77092	602
New Mexico	2016	27885	405
New York	2016	122929	1041
North Carolina	2016	116748	1450
North Dakota	2016	9739	113
Ohio	2016	118607	1132
Oklahoma	2016	49013	687
Oregon	2016	36719	498
Pennsylvania	2016	101362	1188
Rhode Island	2016	7927	51
South Carolina	2016	54552	1020
South Dakota	2016	9506	116
Tennessee	2016	76883	1037
Texas	2016	271262	3797
Utah	2016	31448	281
Vermont	2016	7381	62
Virginia	2016	84462	760
Washington	2016	61017	536
West Virginia	2016	19539	269
Wisconsin	2016	64046	607
Wyoming	2016	9322	112
