State	Year	Miles (millions)	Fatalities
Alabama	2017	70677	948
Alaska	2017	5518	79
Arizona	2017	65069	998
Arkansas	2017	36389	525
California	2017	343862	3884
Colorado	2017	53382	648
Connecticut	2017	31500	281
Delaware	2017	10466	119
District of Columbia	2017	3715	31
Florida	2017	218825	3116
Georgia	2017	124733	1540
Hawaii	2017	10748	107
Idaho	2017	17300	245
Illinois	2017	108011	1090
Indiana	2017	81751	916
Iowa	2017	33482	330
Kansas	2017	32258	461
Kentucky	2017	49239	782
Louisiana	2017	49220	770
Maine	2017	14738	173
Maryland	2017	60044	558
Massachusetts	2017	62660	347
Michigan	2017	101757	1031
Minnesota	2017	59970	358
Mississippi	2017	40877	685
Missouri	2017	75911	932
Montana	2017	12644	186
Nebraska	2017	21002	228
Nevada	2017	27587	311
New Hampshire	2017	13681	102
New Jersey	2017	77508	624
New Mexico	2017	29680	380
New York	2017	123731	1006
North Carolina	2017	119176	1412
North Dakota	2017	9716	116
Ohio	2017	119597	1179
Oklahoma	2017	49402	657
Oregon	2017	36752	439
Pennsylvania	2017	101614	1137
Rhode Island	2017	8000	84
South Carolina	2017	55497	989
South Dakota	2017	9642	129
Tennessee	2017	82253	1024
Texas	2017	272980	3732
Utah	2017	31475	273
Vermont	2017	7424	69
Virginia	2017	85262	839
Washington	2017	61419	563
West Virginia	2017	19072	304
Wisconsin	2017	65323	613
Wyoming	2017	9784	123
