State	Year	Miles (millions)	Fatalities
Alabama	2010	64165	862
Alaska	2010	4798	56
Arizona	2010	59995	759
Arkansas	2010	33504	571
California	2010	322849	2720
Colorado	2010	46939	450
Connecticut	2010	31294	320
Delaware	2010	8947	101
District of Columbia	2010	3590	24
Florida	2010	195754	2444
Georgia	2010	111722	1247
Hawaii	2010	9994	113
Idaho	2010	15801	209
Illinois	2010	105787	927
Indiana	2010	75760	754
Iowa	2010	31388	390
Kansas	2010	29899	431
Kentucky	2010	48006	760
Louisiana	2010	45438	721
Maine	2010	14549	161
Maryland	2010	56125	496
Massachusetts	2010	54361	347
Michigan	2010	97567	942
Minnesota	2010	56631	411
Mississippi	2010	39841	641
Missouri	2010	70863	821
Montana	2010	11189	189
Nebraska	2010	19437	190
Nevada	2010	22201	257
New Hampshire	2010	13065	128
New Jersey	2010	73027	556
New Mexico	2010	25273	349
New York	2010	131252	1201
North Carolina	2010	102384	1320
North Dakota	2010	8262	105
Ohio	2010	111835	1080
Oklahoma	2010	47745	668
Oregon	2010	33774	317
Pennsylvania	2010	100328	1324
Rhode Island	2010	8280	67
South Carolina	2010	49124	809
South Dakota	2010	8865	140
Tennessee	2010	70438	1032
Texas	2010	234015	3023
Utah	2010	26585	253
Vermont	2010	7247	71
Virginia	2010	82170	740
Washington	2010	57190	460
West Virginia	2010	19203	315
Wisconsin	2010	59420	572
Wyoming	2010	9362	155
