State	Year	Miles (millions)	Fatalities
Alabama	2011	64914	895
Alaska	2011	4593	72
Arizona	2011	59574	826
Arkansas	2011	32952	551
California	2011	320783	2816
Colorado	2011	46606	447
Connecticut	2011	31197	221
Delaware	2011	9028	99
District of Columbia	2011	3568	27
Florida	2011	191854	2400
Georgia	2011	108453	1226
Hawaii	2011	10066	100
Idaho	2011	15936	167
Illinois	2011	103234	918
Indiana	2011	76485	751
Iowa	2011	31274	360
Kansas	2011	30021	386
Kentucky	2011	48061	720
Louisiana	2011	46512	680
Maine	2011	14248	136
Maryland	2011	56220	485
Massachusetts	2011	54791	374
Michigan	2011	94754	889
Minnesota	2011	56684	368
Mississippi	2011	38850	630
Missouri	2011	68789	786
Montana	2011	11659	209
Nebraska	2011	19093	181
Nevada	2011	24189	246
New Hampshire	2011	12719	90
New Jersey	2011	73093	627
New Mexico	2011	25650	350
New York	2011	127725	1171
North Carolina	2011	103772	1230
North Dakota	2011	9130	148
Ohio	2011	111989	1017
Oklahoma	2011	47463	696
Oregon	2011	33373	331
Pennsylvania	2011	99204	1286
Rhode Island	2011	7901	66
South Carolina	2011	48730	828
South Dakota	2011	9002	111
Tennessee	2011	70751	937
Texas	2011	237439	3054
Utah	2011	26221	243
Vermont	2011	7141	55
Virginia	2011	80973	764
Washington	2011	56954	454
West Virginia	2011	18963	338
Wisconsin	2011	58553	582
Wyoming	2011	9244	135
