State	Year	Miles (millions)	Fatalities
Alabama	2013	65046	853
Alaska	2013	4848	51
Arizona	2013	60586	849
Arkansas	2013	33493	498
California	2013	329534	3107
Colorado	2013	46968	482
Connecticut	2013	30941	286
Delaware	2013	9307	99
District of Columbia	2013	3527	20
Florida	2013	192701	2403
Georgia	2013	109354	1180
Hawaii	2013	10099	102
Idaho	2013	15980	214
Illinois	2013	105297	991
Indiana	2013	78311	784
Iowa	2013	31641	317
Kansas	2013	30208	350
Kentucky	2013	46995	638
Louisiana	2013	47757	703
Maine	2013	14129	144
Maryland	2013	56687	465
Massachusetts	2013	56311	351
Michigan	2013	95131	947
Minnesota	2013	56974	387
Mississippi	2013	38757	613
Missouri	2013	69458	757
Montana	2013	12032	229
Nebraska	2013	19321	211
Nevada	2013	24649	266
New Hampshire	2013	12902	135
New Jersey	2013	74529	542
New Mexico	2013	25086	311
New York	2013	129736	1202
North Carolina	2013	105212	1290
North Dakota	2013	10099	148
Ohio	2013	112766	989
Oklahoma	2013	47998	678
Oregon	2013	33705	313
Pennsylvania	2013	98627	1210
Rhode Island	2013	7775	65
South Carolina	2013	48986	767
South Dakota	2013	9121	135
Tennessee	2013	71067	995
Texas	2013	244524	3389
Utah	2013	27005	220
Vermont	2013	7115	69
Virginia	2013	80767	740
Washington	2013	57211	436
West Virginia	2013	19232	332
Wisconsin	2013	59486	543
Wyoming	2013	9308	87
